SURVEY:  PS1MD
SNID:  PS0909006
IAUC:    UNKNOWN
RA:        333.9502660  deg
DECL:       1.1848310  deg
MWEBV:    0.0368 +- 0.003  MW E(B-V)
REDSHIFT_FINAL:  0.2840 +- 0.0010  (CMB)
SEARCH_PEAKMJD: 55083.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: PS0909006.0x1613.dougpv3.phot1
# CNTRD_FLUX_OFFSET: 0.0009

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 375
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR

OBS: 55439.3 z NULL  -3.698 7.397 nan -2.172
OBS: 55442.5 z NULL  4.004 9.981 -6.506 2.706
OBS: 55445.4 z NULL  9.453 12.707 -7.439 1.460
OBS: 55448.4 z NULL  17.570 6.264 -8.112 0.387
OBS: 55451.5 z NULL  6.728 16.279 -7.070 2.627
OBS: 55454.4 z NULL  2.366 12.776 -5.935 5.862
OBS: 55457.3 z NULL  -11.726 15.166 nan -1.404
OBS: 55466.4 z NULL  18.191 13.739 -8.150 0.820
OBS: 55475.2 z NULL  4.082 14.415 -6.527 3.835
OBS: 55478.2 z NULL  5.673 15.644 -6.884 2.994
OBS: 55481.2 z NULL  11.693 15.694 -7.670 1.457
OBS: 55484.2 z NULL  14.050 12.069 -7.869 0.933
OBS: 55496.3 z NULL  60.375 26.510 -9.452 0.477
OBS: 55499.2 z NULL  -5.039 12.694 nan -2.735
OBS: 55502.3 z NULL  5.138 13.642 -6.777 2.883
OBS: 55508.2 z NULL  -1.567 14.433 nan -10.004
OBS: 55535.2 z NULL  -7.885 15.261 nan -2.101
OBS: 55547.2 z NULL  -4.239 11.497 nan -2.944
OBS: 55739.5 z NULL  39.589 18.184 -8.994 0.499
OBS: 55742.6 z NULL  -1.333 6.754 nan -5.500
OBS: 55751.6 z NULL  14.044 12.242 -7.869 0.946
OBS: 55754.6 z NULL  -4.593 12.569 nan -2.971
OBS: 55763.6 z NULL  42.392 27.559 -9.068 0.706
OBS: 55769.6 z NULL  -4.272 4.842 nan -1.230
OBS: 55772.5 z NULL  17.381 11.824 -8.100 0.739
OBS: 55775.6 z NULL  0.273 6.454 -3.590 25.668
OBS: 55793.6 z NULL  -4.858 13.860 nan -3.097
OBS: 55796.6 z NULL  -2.938 12.002 nan -4.435
OBS: 55799.3 z NULL  -12.468 12.372 nan -1.077
OBS: 55802.5 z NULL  2.035 15.570 -5.772 8.306
OBS: 55805.3 z NULL  26.649 18.824 -8.564 0.767
OBS: 55808.3 z NULL  8.672 19.489 -7.345 2.440
OBS: 55811.3 z NULL  2.860 14.293 -6.141 5.427
OBS: 55823.3 z NULL  0.352 14.572 -3.866 44.961
OBS: 55827.4 z NULL  -0.916 8.339 nan -9.883
OBS: 55830.3 z NULL  11.482 16.383 -7.650 1.549
OBS: 55854.3 z NULL  6.236 10.452 -6.987 1.820
OBS: 55857.2 z NULL  -15.492 7.125 nan -0.499
OBS: 55860.2 z NULL  -3.227 8.177 nan -2.751
OBS: 55862.2 z NULL  -51.028 52.328 nan -1.113
OBS: 55891.2 z NULL  6.216 16.671 -6.984 2.912
OBS: 56137.6 z NULL  3.873 14.557 -6.470 4.080
OBS: 56146.4 z NULL  -7.751 12.949 nan -1.814
OBS: 56149.6 z NULL  11.991 14.548 -7.697 1.317
OBS: 56155.5 z NULL  -3.736 16.631 nan -4.834
OBS: 56157.4 z NULL  -32.510 43.444 nan -1.451
OBS: 56160.5 z NULL  14.357 15.234 -7.893 1.152
OBS: 56165.4 z NULL  -17.561 16.959 nan -1.048
OBS: 56192.3 z NULL  -4.874 11.845 nan -2.639
OBS: 56203.4 z NULL  -50.039 118.008 nan -2.561
OBS: 56205.4 z NULL  -16.361 9.545 nan -0.633
OBS: 56208.4 z NULL  0.156 9.867 -2.986 68.494
OBS: 56211.3 z NULL  2.538 7.437 -6.011 3.182
OBS: 56214.2 z NULL  -19.344 24.266 nan -1.362
OBS: 56216.2 z NULL  4.007 17.817 -6.507 4.828
OBS: 56219.3 z NULL  -6.711 10.254 nan -1.659
OBS: 56222.2 z NULL  -8.141 10.805 nan -1.441
OBS: 56229.3 z NULL  -15.205 28.189 nan -2.013
OBS: 56283.2 z NULL  -9.814 20.106 nan -2.224
OBS: 56453.5 z NULL  -17.036 15.365 nan -0.979
OBS: 56456.6 z NULL  -7.730 24.584 nan -3.453
OBS: 56466.6 z NULL  -605.151 307.110 nan -0.551
OBS: 56474.6 z NULL  -20.522 6.223 nan -0.329
OBS: 56477.5 z NULL  10.014 8.635 -7.502 0.936
OBS: 56480.5 z NULL  -6.516 25.784 nan -4.296
OBS: 56482.5 z NULL  -18.574 20.644 nan -1.207
OBS: 56485.6 z NULL  -1.056 10.955 nan -11.263
OBS: 56488.4 z NULL  -1.779 13.740 nan -8.386
OBS: 56490.5 z NULL  1.766 8.191 -5.617 5.036
OBS: 56492.5 z NULL  10.147 8.479 -7.516 0.907
OBS: 56506.6 z NULL  7.168 7.268 -7.138 1.101
OBS: 56511.6 z NULL  2.700 21.298 -6.078 8.565
OBS: 56517.4 z NULL  -20.536 19.968 nan -1.056
OBS: 56519.6 z NULL  1.802 10.922 -5.639 6.582
OBS: 56521.6 z NULL  -16.175 13.271 nan -0.891
OBS: 56530.4 z NULL  5.390 9.422 -6.829 1.898
OBS: 56533.5 z NULL  -4.833 10.201 nan -2.292
OBS: 56536.5 z NULL  0.818 11.221 -4.781 14.901
OBS: 56539.4 z NULL  14.874 12.856 -7.931 0.938
OBS: 56541.3 z NULL  -23.092 30.043 nan -1.413
OBS: 56544.3 z NULL  -3.490 13.689 nan -4.258
OBS: 56549.3 z NULL  17.456 11.559 -8.105 0.719
OBS: 56557.5 z NULL  21.436 18.817 -8.328 0.953
OBS: 56570.3 z NULL  0.598 11.064 -4.442 20.075
OBS: 56584.3 z NULL  -17.816 14.771 nan -0.900
OBS: 56589.3 z NULL  -3.083 13.198 nan -4.647
OBS: 56592.3 z NULL  8.799 10.927 -7.361 1.348
OBS: 56595.2 z NULL  1.695 11.117 -5.573 7.120
OBS: 56600.3 z NULL  -2.486 24.620 nan -10.752
OBS: 56613.3 z NULL  -13.779 12.165 nan -0.959
OBS: 56628.2 z NULL  6.202 16.906 -6.981 2.960
END:
